ticker,date,coname,exec,dep_code,year,car_0_2,car_0_5,car_3_20,car_full,alpha,beta,n_est,n_evt
PFE,2006-07-31,PFIZER INC,Henry A. McKinnell,3,2006,-0.017924209887384374,0.0010079816801450503,0.06515936637215937,0.1086396423615625,-0.0001299152408667379,1.039733323722188,130,26
BMY,2006-09-12,BRISTOL-MYERS SQUIBB CO,Peter R. Dolan,4,2006,0.0429514862615178,0.04464559946665449,-0.01593445709858527,0.057714359556890034,-0.0004913807418156984,1.0257209662777522,130,26
KBH,2006-11-01,KB HOME,Bruce Karatz,4,2006,0.0013498726212069715,-0.03624912040034267,0.18406428005903558,0.21599688646827286,-0.003403183361615604,2.2749810511009243,130,26
UNH,2006-11-29,UNITEDHEALTH GROUP INC,William W. McGuire,4,2006,0.02753267683850169,0.024681632893861195,0.08538757048710927,0.1308114965317183,-8.825267325856471e-05,0.587577896797847,130,26
HD,2007-01-02,HOME DEPOT INC,Robert L. Nardelli,3,2007,0.0003941647647739098,-0.0016089062297664145,0.01722486175407102,0.05311806622208112,-0.0007575714115523981,1.1333807565413574,130,26
AAP,2007-04-01,ADVANCE AUTO PARTS INC,Michael N. Coppola,3,2007,-0.014383987300856335,0.0050203179907040195,0.004506226198461409,-0.024806283084224952,0.0011311097627767167,1.051307934986497,130,26
FITB,2007-04-17,FIFTH THIRD BANCORP,George A. Schaefer Jr.,3,2007,0.017164357992631583,0.007667788755502827,0.002918510839964852,0.03284949175089196,-0.00024122807354780697,0.9820019966276798,130,26
MDT,2007-08-23,MEDTRONIC PLC,Arthur D. Collins Jr.,3,2007,0.02049386155050403,0.005266902715997876,0.03753655855568294,0.03497324063669026,-0.0006062671335717641,0.6443575042893226,130,26
C,2007-11-04,CITIGROUP INC,Charles Prince III,3,2007,-0.08688682705701462,-0.04648267599489521,0.011815404584645372,-0.15476336554320777,-0.0010949016818575454,1.2919073712707496,130,26
HSY,2007-11-30,HERSHEY CO,Richard H. Lenny,3,2007,0.006849060865960769,0.0004885490628369271,0.020763223572871636,0.046676385918277094,-0.0019007418281135377,0.867519191699547,130,26
FSS,2007-12-11,FEDERAL SIGNAL CORP,Robert D. Welding,3,2007,-0.0529093431606885,-0.03592571121808852,-0.04932246381181027,-0.025730234765065765,-0.0011338355170216767,1.1252630615009227,130,26
TWX,2007-12-31,TIME WARNER INC,Richard D. Parsons Esq. J.D.,3,2007,0.003231665325122585,0.004118064275077368,0.021899009037142297,0.0384353835337465,-0.0013011857151388549,0.8739690382102753,130,26
SBUX,2008-01-07,STARBUCKS CORP,James L. Donald,3,2008,0.08144372654984874,0.08846470698613976,0.025845124408852897,0.030086558475121424,-0.001672350471337765,0.7552087063780765,130,26
MBI,2008-02-16,MBIA INC,Gary C. Dunton,3,2008,-0.02625475533094085,0.17722019607252176,0.18169058115411155,0.07761543235943333,-0.007691614612491146,1.947114628383642,130,26
TLAB,2008-03-01,TELLABS INC,Krish A. Prabhu Ph.D.,3,2008,-0.021028612327078578,-0.043222727996841015,-0.05671392393249912,-0.0733864563954593,-0.003484529376416333,1.0040258935662258,130,26
WY,2008-04-17,WEYERHAEUSER CO,Steven R. Rogel,3,2008,-0.016008105858658465,-0.02264826560284014,0.016245397957057723,-0.013881421550331622,0.0008406428667596151,1.2352903621972118,130,26
TGT,2008-05-01,TARGET CORP,Robert J. Ulrich,3,2008,-0.014951047728031302,-0.023941079104964753,0.01151326468893462,0.00676656899177722,3.2550481739574994e-05,1.029239208313488,130,26
AMD,2008-07-17,ADVANCED MICRO DEVICES,Hector de Jesus Ruiz,3,2008,-0.10632348574997966,-0.14441658944333186,0.10509080155562517,-0.0020114675906249824,0.0005015827837584234,1.4206216769952154,130,26
MGM,2008-11-30,MGM RESORTS INTERNATIONAL,J. Terrence Lanni,4,2008,-0.033275392897449206,-0.054092062577141095,0.1957657364641817,0.267237659284016,-0.0033051989184114793,1.3348008792691797,130,26
PLD,2008-12-08,PROLOGIS INC,Jeffrey Howard Schwartz,3,2008,0.10883912995895174,0.036641439161910115,0.25123306204184154,0.568051527495881,-0.0020707550934213614,1.4067905946761583,130,26
MAA,2008-12-30,COLONIAL PROPERTIES TRUST,C. Reynolds Thompson III,3,2008,-0.04825188002208398,-0.08238081869884044,-0.010535022933584805,-0.1594520502429219,0.0020015461043744066,1.2503011133568873,130,26
DAN,2009-01-01,DANA INC,Gary L. Convis,4,2009,0.37351451259704677,0.3959232813357477,0.2373320425863359,0.6722694330201092,-0.009406282442478417,1.5630769870842713,130,26
MDXG,2009-02-24,MIMEDX GROUP INC,Thomas W. D'Alonzo,3,2009,-0.09688148011817002,-0.10370919311985176,-0.5586440362888654,-0.31370696618737465,0.0016454269512776905,0.3483418728769767,130,26
SVU,2009-05-25,SUPERVALU INC,Jeffrey Noddle,3,2009,0.006959569192114285,0.0448040155789846,-0.03244271586671706,-0.01469865776101649,0.0012763141028487063,0.8553730937005537,130,26
