ticker,date,coname,exec,dep_code,tenure_no,year,gvkey
MDXG,6/30/2018,MIMEDX GROUP INC,Parker H. Petit,4,1,2018,178157
AREX,4/11/2019,APPROACH RESOURCES INC,"J. Ross Craft, P.E.",3,1,2019,178798
RAX,2/10/2014,RACKSPACE HOSTING INC,A. Lanham Napier,3,1,2014,179925
GLBR,2/1/2017,GLOBAL BROKERAGE INC,Dror Niv,4,1,2017,185518
FRAN,12/1/2014,FRANCESCAS HOLDINGS CORP,Neill P. Davis,3,1,2014,187041
FRAN,2/1/2019,FRANCESCAS HOLDINGS CORP,Steven Paul Lawrence,3,1,2019,187041
ERA,10/1/2011,ERA GROUP INC,Edward Washecka,3,1,2011,187766
ACHC,12/16/2018,ACADIA HEALTHCARE CO INC,Joey A. Jacobs,3,1,2018,192255
WCG,1/25/2008,WELLCARE HEALTH PLANS INC,Todd S. Farha,4,1,2008,260778
WCG,6/29/2009,WELLCARE HEALTH PLANS INC,Heath Glenn Schiesser,3,1,2009,260778
WCG,10/31/2013,WELLCARE HEALTH PLANS INC,Alexander Robb Cunningham,3,1,2013,260778
NUVA,3/27/2015,NUVASIVE INC,Alexis V. Lukianov,4,1,2015,264385
NUVA,11/5/2018,NUVASIVE INC,Gregory T. Lucier,3,1,2018,264385
ANGO,6/13/2011,ANGIODYNAMICS INC,Johannes C. M. Keltjens,3,1,2011,264387
NILE,11/11/2011,BLUE NILE INC,Diane M. Irvine,3,1,2011,264391
